시설명,분점명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,블로그 주소,페이스북 주소,인스타 주소,휴무일,운영시간,무료주차 가능여부,유료주차 가능여부,입장료 유무 여부,장애인용 출입문,휠체어 대여 가능 여부,장애인 화장실 유무,장애인 전용 주차장 여부,대형주차장 가능여부,시각장애인 안내견 동반 가능 여부,점자 가이드 여부,오디오 가이드(한국어),최종작성일
민주공원소극장,,전시/공연,영화/연극/공연,N,부산광역시,중구,영주동,,산 10-7 번지,민주공원길,19 번,35.10968396,129.028028,48901,부산광역시 중구 민주공원길 19,부산광역시 중구 영주동 산 10-7,051-790-7400,www.demopark.or.kr/,정보없음,정보없음,정보없음,"매주 월요일, 공휴일",09:00-22:00,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,2022-11-25
민주공원중극장,,전시/공연,영화/연극/공연,N,부산광역시,중구,영주동,,산 10-7 번지,민주공원길,19 번,35.10968396,129.028028,48901,부산광역시 중구 민주공원길 19,부산광역시 중구 영주동 산 10-7,051-790-7400,www.demopark.or.kr/main/,정보없음,정보없음,정보없음,"매주 월요일, 공휴일",09:00-22:00,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,2022-11-25
박기종기념관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,중구,영주동,,293-23 번지,망양로,362 번,35.10924735,129.031051,48917,부산광역시 중구 망양로 362,부산광역시 중구 영주동 293-23,051-466-4068,www.bsjunggucc.com/sub/template.php?midx=99,정보없음,정보없음,정보없음,"매주 일요일, 월요일, 공휴일",9:00-18:00,N,N,N,Y,N,N,Y,N,Y,N,N,2022-11-25
박태준기념관,,전시/공연,전시/기념관,대형기념관/묘역,부산광역시,기장군,장안읍,임랑리,120-3 번지,임랑해안길,1 번,35.31687517,129.261222,46038,부산광역시 기장군 장안읍 임랑해안길 1,부산광역시 기장군 장안읍 임랑리 120-3,051-709-3975,정보없음,정보없음,정보없음,정보없음,"매주 월요일, 공휴일",09:00-18:00,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,2022-11-25
백산기념관,,전시/공연,전시/기념관,대형기념관/묘역,부산광역시,중구,동광동,,10-1 번지,백산길,11 번,35.10195934,129.034567,48955,부산광역시 중구 백산길 11,부산광역시 중구 동광동3가 10-1,051-600-4067,https://tinyurl.com/ypme87d9,정보없음,정보없음,정보없음,"매주 월요일, 공휴일","화요일-금요일 : 10:00-18:00,토, 일요일 : 10:00-17:00,점심시간 12:00-13:00 미운영",N,N,Y,Y,N,N,N,N,N,N,N,2022-11-25
백운포체육공원,,레저/체육/공원,공원,대형시민/도심공원,부산광역시,남구,용호동,,895-3 번지,백운포로,106 번,35.10415758,129.110078,48563,부산광역시 남구 백운포로 106,부산광역시 남구 용호동 895-3,051-601-3427,www.namgusports.go.kr/guide/rent/index,정보없음,정보없음,정보없음,연중무휴,06:00-24:00,N,Y,N,Y,N,N,Y,Y,Y,Y,N,2022-11-25
범어사성보박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,금정구,청룡동,,546 번지,범어사로,250 번,35.28304264,129.067621,46200,부산광역시 금정구 범어사로 250,부산광역시 금정구 청룡동 546,051-508-6139,www.beomeomuseum.org/,정보없음,정보없음,정보없음,"매주 월요일, 공휴일",09:00-17:00,N,Y,N,N,N,N,N,Y,N,N,N,2022-11-25
베이사이드GC,,레저/체육/공원,대형레저시설,골프장CC,부산광역시,기장군,일광읍,이천리,산 32 번지,이천8길,100 번,35.28184677,129.239535,46041,부산광역시 기장군 일광읍 이천8길 100,부산광역시 기장군 일광읍 이천리 산 32,051-930-0000,www.bayside.co.kr/,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,Y,N,N,N,Y,Y,N,N,N,2022-11-25
벡스코 키즈월드,,레저/체육/공원,대형레저시설,눈썰매장,부산광역시,해운대구,우동,,1413-4 번지,APEC로,30 번,35.16578256,129.135027,48060,부산광역시 해운대구 APEC로 30,부산광역시 해운대구 우동 1413-4,070-4801-6034,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,Y,N,N,N,N,N,N,N,N,2022-11-25
보트앤,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,우동,,1393 번지,해운대해변로,84 번,35.15979857,129.141957,48090,부산광역시 해운대구 해운대해변로 84,부산광역시 해운대구 우동 1393,0507-1311-7954,boatn.co.k,정보없음,정보없음,정보없음,연중무휴,매일 00:00-23:00,Y,N,Y,Y,N,N,Y,Y,Y,N,N,2022-11-25
복천박물관,,전시/공연,전시/기념관,대형전시/박물관,부산광역시,동래구,복천동,,16-5 번지,복천로,63 번,35.20877819,129.091172,47800,부산광역시 동래구 복천로 63,부산광역시 동래구 복천동 16-5,051-554-4263,museum.busan.go.kr/bokcheon/index,정보없음,정보없음,정보없음,"매주 월요일, 공휴일","관람시간 09:00-18:00 ,입장시간 09:00-17:00",Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,2022-11-25
본골프,,레저/체육/공원,대형체육시설,N,부산광역시,연제구,거제동,,1476-9 번지,법원북로3번길,7 번,35.1935377,129.067383,47502,부산광역시 연제구 법원북로3번길 7,부산광역시 연제구 거제동 1476-9,051-506-8182,정보없음,정보없음,정보없음,정보없음,매주 일요일,"평일 10:00-21:00,토요일 10:00-18:00",N,N,Y,N,N,N,Y,N,N,N,N,2022-11-25
부경대학교박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,남구,대연동,,430-1 번지,용소로,45 번,35.13117521,129.104866,48513,부산광역시 남구 용소로 45,부산광역시 남구 대연동 430-1,051-629-6771,cms.pknu.ac.kr/museum/main.do,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",월-금요일 10 : 00-17 : 00,N,Y,N,Y,N,Y,Y,Y,N,N,N,2022-11-25
부산가톨릭센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,중구,대청동,,81-1 번지,중구로,71 번,35.10435395,129.028573,48968,부산광역시 중구 중구로 71,부산광역시 중구 대청동4가 81-1,051-462-1870,www.bccenter.or.kr/,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",매일 09:30-05:30,N,Y,Y,N,N,Y,Y,N,Y,N,N,2022-11-25
부산강서문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,강서구,대저1동,,2300 번지,낙동북로,477 번,35.21220294,128.980585,46702,부산광역시 강서구 낙동북로 477,부산광역시 강서구 대저1동 2300,051-972-6369,www.bsgangseo.com/,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",09:00-18:00,Y,Y,N,Y,N,Y,Y,Y,N,N,N,2022-11-25
부산건축인테리어전시회,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,해운대구,우동,,1500 번지,APEC로,55 번,35.16906372,129.136018,48060,부산광역시 해운대구 APEC로 55,부산광역시 해운대구 우동 1500,051-740-7706,livingexpo.co.kr/main.php,정보없음,정보없음,정보없음,정보없음,10:00-18:00,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
부산과학체험관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,동구,초량동,,1167 번지,중앙대로260번길,11 번,35.12032104,129.044128,48731,부산광역시 동구 중앙대로260번길 11,부산광역시 동구 초량동 1167,051-792-3000,home.pen.go.kr/scinuri/main.do,정보없음,정보없음,정보없음,"매주 월요일, 공휴일","(오전) 09:30-12:00,(오후) 14:00-16:30",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
부산광복기념관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,서구,동대신2동,,99-11 번지,망양로193번길,167 번,35.11130603,129.027514,49214,부산광역시 서구 망양로193번길 167,부산광역시 서구 동대신동2가 99-11,051-860-7819,bisco.or.kr/gwangbok,정보없음,정보없음,정보없음,매주 월요일,"매일 09:00-18:00 하절기(3월-10월), 매일 09:00-17:00 동절기(11월-2월)",Y,N,N,Y,N,N,Y,N,Y,Y,Y,2022-11-25
부산광역시119안전체험관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,동래구,온천동,,330 번지,우장춘로,117 번,35.21790199,129.074247,47700,부산광역시 동래구 우장춘로 117,부산광역시 동래구 온천동 330,051-760-5870,safe119.busan.go.kr/,정보없음,정보없음,정보없음,"매주 월요일, 공휴일",화-일 09:00-18:00,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
부산광역시국제교류전시관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,연제구,연산동,,1000 번지,중앙대로,1001 번,35.17992599,129.075095,47545,부산광역시 연제구 중앙대로 1001,부산광역시 연제구 연산동 1000,051-888-5099,www.busan.go.kr/exhibition,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",평일 09:00-18:00,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,2022-11-25
부산광역시체육회관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,동래구,사직동,,749-6 번지,사직로,77 번,35.19469781,129.057426,47873,부산광역시 동래구 사직로 77,부산광역시 동래구 사직동 749-6,051-500-7992,www.sports.busan.kr/hall/info.html,정보없음,정보없음,정보없음,매주 월요일,09:00-18:00,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,2022-11-25
부산교육대학교한새뮤지엄,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,연제구,거제동,,285-6 번지,교대로,24 번,35.19569321,129.077083,47503,부산광역시 연제구 교대로 24,부산광역시 연제구 거제동 285-6,051-500-7653,정보없음,정보없음,정보없음,정보없음,연중무휴,매일 10:00-17:00,N,Y,N,Y,N,N,Y,N,Y,N,N,2022-11-25
부산국제관광전,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,해운대구,우동,,1413-4 번지,APEC로,30 번,35.16578256,129.135027,48060,부산광역시 해운대구 APEC로 30,부산광역시 해운대구 우동 1413-4,02-757-6161,www.bitf.co.kr/,정보없음,정보없음,정보없음,정보없음,정보없음,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
부산국제아트센터(2023년7월예정),,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,부산진구,범전동,,200 번지,시민공원로,73 번,35.16545511,129.055854,47197,부산광역시 부산진구 시민공원로 73,부산광역시 부산진구 범전동 200,051-640-8888,https://classicbusan.busan.go.kr/,정보없음,정보없음,정보없음,매주 월요일,공연별 상이,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
부산근대역사관,,전시/공연,전시/기념관,대형기념관/묘역,부산광역시,중구,대청동,,24-2 번지,대청로,104 번,35.10267057,129.03116,48949,부산광역시 중구 대청로 104,부산광역시 중구 대청동2가 24-2,051-601-1835,museum.busan.go.kr/modern/index,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
부산근현대역사관(2022년12월예정),,전시/공연,전시/기념관,기타전시/박물관,부산광역시,중구,대청동,,44 번지,대청로,112 번,35.10234512,129.031785,48949,부산광역시 중구 대청로 112,부산광역시 중구 대청동1가 44,051-607-8000,museum.busan.go.kr/modern/index,정보없음,정보없음,정보없음,"1월 1일, 매주 월요일 (월요일이 공휴일이면 다음날)",09:00-18:00 (입장마감 17:00),N,N,N,N,N,N,N,N,N,N,N,2022-11-25
부산글로벌웹툰센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,해운대구,우동,,1466-1 번지,수영강변대로,140 번,35.17272937,129.125609,48058,부산광역시 해운대구 수영강변대로 140,부산광역시 해운대구 우동 1466-1,051-749-9161,정보없음,blog.naver.com/bipa_webtoon,www.facebook.com/bipa.webtoon,정보없음,"매주 월요일, 공휴일","화-일,오전 9:00-오후 6:00",N,Y,N,Y,N,Y,N,N,N,N,N,2022-11-25
부산기장보트조종면허면제교육장,,레저/체육/공원,대형레저시설,요트장,부산광역시,기장군,기장읍,시랑리,95 번지,동암해안길,55-1 번,35.1969365,129.225525,46083,부산광역시 기장군 기장읍 동암해안길 55-1,부산광역시 기장군 기장읍 시랑리 95,051-742-0367,www.jojong.net/,정보없음,정보없음,정보없음,연중무휴,09:00-18:00,Y,N,N,N,N,N,N,Y,Y,N,N,2022-11-25
부산대학교박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,금정구,장전동,,40 번지,부산대학로63번길,2 번,35.2322428,129.083824,46241,부산광역시 금정구 부산광역시대학로63번길 2,부산광역시 금정구 장전동 40,051-510-1838,pnumuseum.pusan.ac.kr/pnumuseum/index..do,정보없음,정보없음,정보없음,"매주 일요일, 공휴일",09:00-17:00,Y,N,N,Y,N,Y,Y,N,Y,N,Y,2022-11-25
부산동구문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,동구,수정동,,64-1 번지,중앙대로349번길,20 번,35.12711804,129.046059,48791,부산광역시 동구 중앙대로349번길 20,부산광역시 동구 수정동 64-1,0507-1323-4928,bdgcc.or.kr/,정보없음,정보없음,정보없음,정보없음,주중 09:00-18:00,N,N,N,N,N,N,N,N,Y,N,N,2022-11-25
부산메트로홀,,전시/공연,영화/연극/공연,N,부산광역시,수영구,광안동,,143-1 번지,수영로582번길,10 번,35.15743194,129.113587,48297,부산광역시 수영구 수영로582번길 10,부산광역시 수영구 광안동 143-1,1600-0316,정보없음,blog.naver.com/playthebusan,정보없음,정보없음,정보없음,정보없음,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,2022-11-25
부산문화콘텐츠콤플렉스,,전시/공연,영화/연극/공연,N,부산광역시,해운대구,우동,,1466-1 번지,수영강변대로,140 번,35.17272937,129.125609,48058,부산광역시 해운대구 수영강변대로 140,부산광역시 해운대구 우동 1466-1,051-749-9157,busanit.or.kr/bcc,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",09:00-18:00,N,Y,N,Y,N,Y,Y,Y,N,Y,N,2022-11-25
부산문화회관,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,남구,대연동,,848-4 번지,유엔평화로76번길,1 번,35.12718493,129.093478,48534,부산광역시 남구 유엔평화로76번길 1,부산광역시 남구 대연동 848-4,051-607-6000,www.bscc.or.kr/intro/,정보없음,www.facebook.com/busanculturalcenter,www.instagram.com/bsculturalcenter_official/,정보없음,"매일 09:00-21:30,고객지원센터 운영 09:00-18:00",N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
부산미래도시관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,연제구,연산동,,1000 번지,중앙대로,1001 번,35.17992599,129.075095,47545,부산광역시 연제구 중앙대로 1001,부산광역시 연제구 연산동 1000,051-888-5795,www.busan.go.kr/index,정보없음,정보없음,www.instagram.com/busancity/,"매주 토요일, 일요일, 공휴일","월-금,오전 9:00-오후 6:00",N,N,N,N,N,N,N,N,N,N,N,2022-11-25
부산민속예술관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,동래구,온천동,,산 13-3 번지,우장춘로,195-46 번,35.22257823,129.075389,47700,부산광역시 동래구 우장춘로 195-46,부산광역시 동래구 온천동 산 13-3,051-555-0092,www.busanminsok.or.kr,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,Y,N,N,N,N,N,Y,Y,2022-11-25
부산민주공원민주항쟁기념관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,중구,영주동,,10-7 번지,민주공원길,19-0 번,35.109684,129.028028,48901,부산광역시 중구 민주공원길 19,부산광역시 중구 영주동 산10-7,051-790-7400,www.demopark.or.kr/main/,정보없음,정보없음,정보없음,"매주 월요일, 공휴일",09:00-18:00(17:30까지 입장),Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,2022-11-25
부산박물관,,전시/공연,전시/기념관,대형전시/박물관,부산광역시,남구,대연동,,948-1 번지,유엔평화로,63 번,35.1295556,129.092942,48529,부산광역시 남구 유엔평화로 63,부산광역시 남구 대연동 948-1,051-610-7111,museum.busan.go.kr/busan/index,blog.naver.com/bs_museum,www.facebook.com/BSmuseum,www.instagram.com/busan_museum/,"매주 월요일, 공휴일","관람시간 09:00-18:00,입장시간 09:00-17:00",Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,2022-11-25
부산베이비&키즈페어,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,해운대구,우동,,1500 번지,APEC로,55 번,35.16906372,129.136018,48060,부산광역시 해운대구 APEC로 55,부산광역시 해운대구 우동 1500,02-761-2516,www.babynkidsfair.com/fairDash.do?hl=KOR,정보없음,정보없음,정보없음,정보없음,오전 10시-오후 6시,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
부산북구문화예술회관,,전시/공연,영화/연극/공연,N,부산광역시,북구,덕천동,,434 번지,금곡대로46번길,50 번,35.21343923,129.005752,46547,부산광역시 북구 금곡대로46번길 50,부산광역시 북구 덕천동 434,051-309-4081,https://tinyurl.com/nhxytdv4,정보없음,정보없음,정보없음,"매주 월요일, 공휴일",화-일 09:00-22:00,Y,N,N,Y,N,Y,Y,Y,N,N,N,2022-11-25
부산사직종합운동장사직야구장,,레저/체육/공원,대형체육시설,프로야구경기장,부산광역시,동래구,사직동,,960 번지,사직로,45 번,35.1943668,129.059901,47874,부산광역시 동래구 사직로 45,부산광역시 동래구 사직동 960,051-852-1982,www.giantsclub.com/home/giants/cyber_tour.html,정보없음,정보없음,정보없음,상시변동,"롯데자이언츠 경기에 따라 다름, 별도 문의",N,Y,Y,Y,N,Y,Y,N,N,Y,N,2022-11-25
부산생활체육공원풋살장,,레저/체육/공원,대형체육시설,지역축구장,부산광역시,서구,서대신4동,,210-1 번지,망양로,57 번,35.11659638,129.01453,49204,부산광역시 서구 망양로 57,부산광역시 서구 서대신동3가 210-1,051-243-5959,정보없음,정보없음,정보없음,정보없음,정보없음,"평일 08:00-18:00,토,일요일,공휴일 08:00-18:00,평일, 공휴일 야간 18:00-22:00",N,Y,Y,Y,N,N,Y,Y,Y,N,N,2022-11-25
부산서구문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,서구,아미동,,20-2 번지,까치고개로197번길,46 번,35.10197694,129.017596,49241,부산광역시 서구 까치고개로197번길 46,부산광역시 서구 아미동2가 20-2,051-231-4085,www.seogucc.or.kr/,정보없음,facebook.com/seogumh,정보없음,매주 월요일,09:00-18:00,Y,Y,N,Y,N,N,N,N,N,N,N,2022-11-25
부산세관박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,중구,중앙동,,17-26 번지,충장대로,20 번,35.1046453,129.037881,48940,부산광역시 중구 충장대로 20,부산광역시 중구 중앙동4가 17-26,051-620-6092,korean.visitkorea.or.kr/,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",월-금 10:00-17:00,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
부산수산자원연구소축구장,,레저/체육/공원,대형체육시설,지역축구장,부산광역시,강서구,명지동,,3247 번지,명지오션시티4로,21 번,35.08718823,128.904024,46763,부산광역시 강서구 명지오션시티4로 21,부산광역시 강서구 명지동 3247,051-209-0911,https://www.busan.go.kr/fisheries/,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
부산스마트시티전시관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,해운대구,우동,,1475 번지,센텀동로,41 번,35.17285196,129.130719,48059,부산광역시 해운대구 센텀동로 41,부산광역시 해운대구 우동 1475,051-749-9491,www.k-smartcity.kr/,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일","평일 10:00-18:00,",Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,2022-11-25
부산시립미술관,,전시/공연,전시/기념관,대형미술관,부산광역시,해운대구,우동,,1413 번지,APEC로,58 번,35.16668716,129.137027,48060,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,051-744-2602,art.busan.go.kr/index.nm,blog.naver.com/busanmuseumof,www.facebook.com/artbusan,정보없음,"매주 월요일, 공휴일","본관: 화-목, 일 10:00-18:00/금-토 10:00-21:00,어린이갤러리: 10:00-18:00,이우환공간: 10:00-18:00",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2022-11-25
부산시립미술관부산시립어린이미술관,,전시/공연,전시/기념관,미술관,부산광역시,해운대구,우동,,1413 번지,APEC로,58 번,35.16668716,129.137027,48060,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,0507-1404-2602,art.busan.go.kr/index.nm,정보없음,www.facebook.com/artbusan,www.instagram.com/busanmuseumofart,"매주 월요일, 공휴일",10:00-18:00,N,Y,Y,Y,Y,N,Y,N,N,N,Y,2022-11-25
부산시립박물관복천분관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,동래구,복천동,,50 번지,복천로,66 번,35.20738474,129.091793,47802,부산광역시 동래구 복천로 66,부산광역시 동래구 복천동 50,051-554-4263,museum.busan.go.kr/bokcheon/bkview,정보없음,정보없음,정보없음,"매주 월요일, 공휴일",화-일 09:00-18:00,Y,N,N,Y,Y,Y,Y,Y,N,N,N,2022-11-25
부산시민공원,,레저/체육/공원,공원,대형시민/도심공원,부산광역시,부산진구,범전동,,200 번지,시민공원로,73 번,35.16545511,129.055854,47197,부산광역시 부산진구 시민공원로 73,부산광역시 부산진구 범전동 200,051-850-6000,www.citizenpark.or.kr/,정보없음,정보없음,정보없음,연중무휴,05:00-24:00,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,2022-11-25
부산시민체육공원농구장,,레저/체육/공원,대형체육시설,공설/시민운동장,부산광역시,서구,서대신4동,,210-1 번지,망양로,61 번,35.11534644,129.015695,49204,부산광역시 서구 망양로 61,부산광역시 서구 서대신동3가 210-1,051-255-1101,정보없음,정보없음,정보없음,정보없음,연중무휴,상시개방,N,Y,N,Y,N,N,Y,Y,Y,N,N,2022-11-25
부산시민체육공원다목적구장,,레저/체육/공원,대형체육시설,공설/시민운동장,부산광역시,서구,서대신4동,,210-1 번지,망양로,61 번,35.11534644,129.015695,49204,부산광역시 서구 망양로 61,부산광역시 서구 서대신동3가 210-1,051-602-2211,정보없음,정보없음,정보없음,정보없음,정보없음,"아침 트랙 무료개방 05:00에 영업 시작,아침 트랙 무료개방 05:00-08:30,저녁 트랙 무료개방 17:30-22:00",N,Y,Y,Y,N,N,Y,Y,Y,N,N,2022-11-25
부산시체육시설관리사업소요트경기장,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,반송동,,150-1 번지,,,35.22909744,129.161349,48011,,부산광역시 해운대구 반송동 150-1,051-740-2201,www.busan.go.kr/stadium/sftelsyacht,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
부산씨라이프아쿠아리움,,문화관광/명소,관광지,아쿠아리움/대형수족관,부산광역시,해운대구,중동,,1411-4 번지,해운대해변로,266 번,35.15919963,129.161015,48100,부산광역시 해운대구 해운대해변로 266,부산광역시 해운대구 중동 1411-4,051-740-1700,정보없음,정보없음,www.facebook.com/sealifebusanaquarium,정보없음,연중무휴,평일 10:00-19:00 * 입장마감 : 18시주말 10:00-20:00 * 입장마감 : 19시,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,2022-11-25
부산아시아드주경기장,,레저/체육/공원,대형체육시설,월드컵경기장,부산광역시,연제구,거제동,,1299 번지,월드컵대로,344 번,35.19008744,129.058356,47500,부산광역시 연제구 월드컵대로 344,부산광역시 연제구 거제동 1299,051-500-2123,www.busan.go.kr/stadium/index,정보없음,정보없음,정보없음,정보없음,운영시간=대여시간,N,Y,N,Y,N,Y,Y,N,Y,Y,N,2022-11-25
부산어린이대공원,,문화관광/명소,관광지,테마공원/대형놀이공원,부산광역시,부산진구,초읍동,,43 번지,새싹로,295 번,35.18250474,129.046693,47100,부산광역시 부산진구 새싹로 295,부산광역시 부산진구 초읍동 43,051-860-7848,www.bisco.or.kr/bschildpark/,정보없음,정보없음,정보없음,정보없음,매일00:00-24:00,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
부산어린이VR재난안전체험교육장,,전시/공연,전시/기념관,N,부산광역시,수영구,광안동,,1034-4 번지,망미번영로,21-1 번,35.16961978,129.108425,48240,부산광역시 수영구 망미번영로 21-1,부산광역시 수영구 광안동 1034-4,051-755-8119,www.busanxr.or.kr/,정보없음,정보없음,www.instagram.com/busan_vrar/,매주 월요일,화-일10:00-18:00,Y,N,N,Y,N,N,N,N,Y,N,N,2022-11-25
부산어촌민속관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,북구,화명동,,2279 번지,학사로,128 번,35.23375269,129.008454,46527,부산광역시 북구 학사로 128,부산광역시 북구 화명동 2279,051-550-8888,www.busan.go.kr/sea/onfolkintro,정보없음,정보없음,정보없음,"매주 월요일, 공휴일",오전 9시-오후 6시(오후 5시까지 입장),Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,2022-11-25
부산여자대학교차박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,부산진구,양정동,,74-161 번지,진남로,506 번,35.16923652,129.072055,47228,부산광역시 부산진구 진남로 506,부산광역시 부산진구 양정동 74-161,051-850-3112,www.bwc.ac.kr/sch/sub02/sub0203_08.asp,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",10:00-17:30,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,2022-11-25
부산영화체험박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,중구,동광동,,41-4 번지,대청로126번길,12 번,35.10169228,129.033592,48950,부산광역시 중구 대청로126번길 12,부산광역시 중구 동광동3가 41-4,051-715-4200,busanbom.modoo.at/,정보없음,정보없음,www.instagram.com/bom_bom_a/,"매주 월요일, 공휴일",10:00-18:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2022-11-25
부산예술회관,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,남구,대연동,,603-7 번지,용소로,78 번,35.13073781,129.102456,48501,부산광역시 남구 용소로 78,부산광역시 남구 대연동 603-7,051-631-1377,www.bsart.or.kr/,정보없음,정보없음,정보없음,정보없음,"평일 09:00-22:00 점심시간 12:00-13:00,주말 09:00-22:00 점심시간 12:00-13:00,공휴일 09:00-22:00 점심시간 12:00-13:00",Y,N,N,Y,N,Y,Y,Y,Y,Y,N,2022-11-25
부산오페라하우스(2024년예정),,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,동구,초량동,,,,,35.12133552,129.033586,,,부산광역시 동구 초량동,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
부산요트경기장,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,우동,,1393 번지,해운대해변로,84 번,35.15979857,129.141957,48090,부산광역시 해운대구 해운대해변로 84,부산광역시 해운대구 우동 1393,051-741-6440,정보없음,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",09:00-18:00,Y,N,Y,Y,N,N,Y,Y,Y,N,N,2022-11-25
부산요트투어 아쿠아마린,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,우동,,1393 번지,해운대해변로,84 번,35.15979857,129.141957,48090,부산광역시 해운대구 해운대해변로 84,부산광역시 해운대구 우동 1393,,정보없음,정보없음,정보없음,정보없음,상시변동,10:00-24:00,Y,N,Y,Y,N,N,Y,Y,Y,N,N,2022-11-25
