시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
사하구청,부산광역시,사하구,33400,부산광역시 사하구 낙동대로398번길 12,부산광역시 사하구 당리동 317-16,35.1045209,128.97479,본관 안 오른쪽,9:00,18:00,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
사하두바퀴장애인자립생활센터,부산광역시,사하구,33400,부산광역시 사하구 하신번영로 135,부산광역시 사하구 신평동 647-3,35.0945929,128.959799,보조기기 지원센터 안,9:00,18:00,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
괴정역,부산광역시,사하구,33400,부산광역시 사하구 낙동대로 221,부산광역시 사하구 괴정동 970-6,35.0996945,128.9927,고객서비스센터 맞은 편,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
당리역,부산광역시,사하구,33400,부산광역시 사하구 낙동대로 405,부산광역시 사하구 당리동 323,35.1034905,128.97385,고객서비스센터 맞은 편,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
하단역,부산광역시,사하구,33400,부산광역시 사하구 낙동남로 1415,부산광역시 사하구 하단동 491,35.106181,128.966238,고객서비스센터 우측,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
신평역,부산광역시,사하구,33400,부산광역시 사하구 하신번영로 140,부산광역시 사하구 신평동 646,35.0921593,128.96059,1번 출구,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
서부산장애인스포츠센터,부산광역시,사하구,33400,부산광역시 사하구 낙동남로1233번길 20,부산광역시 사하구 하단동 1149-5,35.1094203,128.946942,1층 입구 왼쪽,6:00,22:00,9:00,18:00,9:00,18:00,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
사하구장애인종합복지관,부산광역시,사하구,33400,부산광역시 사하구 사하로68번길 65,부산광역시 사하구 구평동 43,35.085439,128.992997,1층 로비 계단 앞,9:00,18:00,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
낙조분수,부산광역시,사하구,33400,부산광역시 사하구 몰운대1길 14,부산광역시 사하구 다대동 482-3,35.0463817,128.968007,낙조분수 사무실 1층 로비,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
다대포해수욕장역,부산광역시,사하구,33400,부산광역시 사하구 다대로 692,부산광역시 사하구 다대동 1552-16,35.0484461,128.96587,2번출구 보관함 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
다대포항역,부산광역시,사하구,33400,부산광역시 사하구 다대로 548,부산광역시 사하구 다대동 909-2,35.0575358,128.971137,만남의장소 알림판 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
낫개역,부산광역시,사하구,33400,부산광역시 사하구 다대로 423,부산광역시 사하구 다대동 63-13,35.0652043,128.979878,만남의장소 좌측,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
신장림역,부산광역시,사하구,33400,부산광역시 사하구 다대로 310,부산광역시 사하구 장림동 381,35.0747728,128.976625,3번출구 근처 알림판 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
장림역,부산광역시,사하구,33400,부산광역시 사하구 다대로 230,부산광역시 사하구 장림동 186-1,35.0820126,128.977402,1번출구 게시판 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
동매역,부산광역시,사하구,33400,부산광역시 사하구 신산로 168,부산광역시 사하구 신평동 583,35.0897612,128.973447,4번출구 좌측,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
사하역,부산광역시,사하구,33400,부산광역시 사하구 낙동대로 309,부산광역시 사하구 괴정동 578-5,35.099605,128.983054,고객서비스센터 좌측,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 사하구청,051-220-5627,2026.1.12,3340000,부산광역시 사하구
안락2동행정복지센터,부산광역시,동래구,26260,부산광역시 동래구 명안로18번길 103 (안락동),부산광역시 동래구 안락동 464-38,35.197754,129.110064,1층 입구우측벽면,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
동래문화회관,부산광역시,동래구,26260,부산광역시 동래구 문화로 80 (명륜동),부산광역시 동래구 명륜동 137,35.2119523,129.090544,대극장 본관 1층 티켓 발권기 옆,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
명장1동 주민센터,부산광역시,동래구,26260,부산광역시 동래구 명장로 32 (명장동),부산광역시 동래구 명장동 133-5,35.2046967,129.104249,1층 출입구,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
사직2동 주민센터,부산광역시,동래구,26260,부산광역시 동래구 사직북로63번길 22 (사직동),부산광역시 동래구 사직동 1036,35.1992172,129.057519,1층 민원실,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
온천2동 주민센터,부산광역시,동래구,26260,부산광역시 동래구 충렬대로107번길 28 (온천동),부산광역시 동래구 온천동 707-3,35.2079865,129.072985,1층 민원실,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
동래구 장애인협회,부산광역시,동래구,26260,부산광역시 동래구 충렬대로 509 (안락동),부산광역시 동래구 안락동 475-3,35.19476,129.113697,1층 출입구,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
동래구 보건소,부산광역시,동래구,26260,부산광역시 동래구 명륜로187번길 56 (명륜동),부산광역시 동래구 명륜동 702-54,35.211412,129.079853,1층 민원실,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
동래구청,부산광역시,동래구,26260,부산광역시 동래구 온천천로359번길 70 (낙민동),부산광역시 동래구 낙민동 150-11,35.1964601,129.092755,1층 입구 왼쪽,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
충렬사역,부산광역시,동래구,26260,부산광역시 동래구 반송로 205,부산광역시 동래구 안락동 473,35.1996911,129.097537,4번 출구,6:00,23:59,6:00,23:59,6:00,23:59,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
낙민역,부산광역시,동래구,26260,부산광역시 동래구 충렬대로 285,부산광역시 동래구 낙민동 205-4,35.2001929,129.090827,3번 출구,6:00,23:59,6:00,23:59,6:00,23:59,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
수안역,부산광역시,동래구,26260,부산광역시 동래구 충렬대로 지하 223 (수안동),부산광역시 동래구 수안동 204-2,35.2018371,129.083899,지하1층 공중전화 옆,6:00,23:59,6:00,23:59,6:00,23:59,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
명장역,부산광역시,동래구,26260,부산광역시 동래구 반송로 지하 281 (안락동),부산광역시 동래구 명장동 184-2,35.20533,129.101824,3번 출구,6:00,23:59,6:00,23:59,6:00,23:59,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
미남역,부산광역시,동래구,26260,부산광역시 동래구 아시아드대로 232,부산광역시 동래구 온천동 1470,35.2055969,129.068124,7번 출구,6:00,23:59,6:00,23:59,6:00,23:59,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
사직역,부산광역시,동래구,26260,부산광역시 동래구 아시아드대로 153,부산광역시 동래구 사직동 161-87,35.1989699,129.065057,3번 출구,6:00,23:59,6:00,23:59,6:00,23:59,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
온천장역,부산광역시,동래구,26260,부산광역시 동래구 중앙대로 1520 (온천동),부산광역시 동래구 온천동 1750-1,35.2135031,129.080114,고객서비스센터 역무실 맞은편,6:00,23:00,6:00,23:00,6:00,23:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
사직종합사회복지관,부산광역시,동래구,26260,부산광역시 동래구 사직북로63번길 20-7 (사직동),부산광역시 동래구 사직동 1034,35.1991209,129.057299,복지관 입구 장애인주차구역 옆,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
동래종합사회복지관,부산광역시,동래구,26260,부산광역시 동래구 시실로107번길 151 (명장동),부산광역시 동래구 명장동 508-72,35.2112259,129.098572,1층 정문 로비,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
동래구장애인복지관,부산광역시,동래구,26260,부산광역시 동래구 충렬대로 386 (안락동),부산광역시 동래구 안락동 436-18,35.196845,129.100522,정문 주차장 화단 옆,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
동래구 장애인복지관,부산광역시,동래구,26260,부산광역시 동래구 충렬대로 386 (안락동),부산광역시 동래구 안락동 436-18,35.196845,129.100522,1층 출입구,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
광혜병원,부산광역시,동래구,26260,부산광역시 동래구 충렬대로 96 (온천동),부산광역시 동래구 온천동 1426-6,35.2069684,129.071145,1층 로비 안내데스크 옆,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
안락역,부산광역시,동래구,26260,부산광역시 동래구 안연로98번길 57 (안락동),부산광역시 동래구 안락동 201-2,35.1960199,129.100547,3번출입구 기둥 옆,6:00,23:59,6:00,23:59,6:00,23:59,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
동래역,부산광역시,동래구,26260,부산광역시 동래구 낙민로 27(낙민동),부산광역시 동래구 낙민동 130-4,35.1971714,129.091286,승강기 출입구 옆,6:00,23:59,6:00,23:59,6:00,23:59,1,Y,N,부산광역시 동래구,051-550-4884,2025.12.24,3300000,부산광역시 동래구
해동병원,부산광역시,영도구,32800,부산광역시 영도구 절영로 13번길 59(봉래동3가),부산광역시 영도구 봉래동 3가 5,35.0921853,129.043361,별관로비,9:00,18:00,0:00,13:00,0:00,0:00,2,N,Y,부산광역시 영도구청,051-419-4371,2025.12.26,3280000,부산광역시 영도구
영도병원,부산광역시,영도구,32800,부산광역시 영도구 태종로 85(대교동2가),부산광역시 영도구 대교동2가 71,35.0922457,129.040532,별관로비,9:00,18:00,0:00,13:00,0:00,0:00,2,N,Y,부산광역시 영도구청,051-419-4371,2025.12.26,3280000,부산광역시 영도구
고신대학교(영도캠퍼스),부산광역시,영도구,32800,부산광역시 영도구 와치로 194(동삼동),부산광역시 영도구 동삼동 516-36,35.0794694,129.062182,1동1층1101강의실옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 영도구청,051-419-4371,2025.12.26,3280000,부산광역시 영도구
영도장애인자립생활센터,부산광역시,영도구,32800,부산광역시 영도구 절영로 560(동삼동),부산광역시 영도구 동삼동 363-3,35.0757512,129.072429,교육실 벽면,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 영도구청,051-419-4371,2025.12.26,3280000,부산광역시 영도구
(사)영도구장애인협회,부산광역시,영도구,32800,부산광역시 영도구 동삼북로 3(동삼동),부산광역시 영도구 동삼동 1121,35.0830449,129.069222,출입구 옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 영도구청,051-419-4371,2025.12.26,3280000,부산광역시 영도구
절영종합사회복지관,부산광역시,영도구,32800,부산광역시 영도구 함지로 33-10(동삼동),부산광역시 영도구 동삼동 1124-6,35.0722127,129.061746,1층현관외부,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 영도구청,051-419-4371,2025.12.26,3280000,부산광역시 영도구
영도구장애인복지관,부산광역시,영도구,32800,부산광역시 영도구 함지로 79번길6(동삼동),부산광역시 영도구 동삼동 516-1,35.0752685,129.066862,지하1층입구,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 영도구청,051-419-4371,2025.12.26,3280000,부산광역시 영도구
영도구청,부산광역시,영도구,32800,부산광역시 영도구 태종로 423(청학동),부산광역시 영도구 청학동 48-3,35.0912141,129.067914,1층 부산은행ATM옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 영도구청,051-419-4371,2025.12.26,3280000,부산광역시 영도구
부산지방보훈청,부산광역시,중구,26110,부산광역시 중구 중앙대로148번길 13,부산광역시 중구 중앙동4가 74-11,35.1104947,129.039297,부산보훈청  1층 안내데스크,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산지방보훈청 총무과,051-660-6323,2025.11.6,3250000,부산광역시 중구
영화체험박물관,부산광역시,중구,26110,부산광역시 중구 대청로126번길 12,부산광역시 중구 동광동3가 41-4,35.1016612,129.033592,부산영화박물관 1층 로비,10:00,18:00,10:00,18:00,10:00,18:00,2,N,Y,영화체험박물관 관리사무실,051-715-4200,2025.11.6,3250000,부산광역시 중구
보수동행정복지센터,부산광역시,중구,26110,부산광역시 중구 보수대로140번길 61,부산광역시 중구 보수동1가 48-2,35.1061815,129.024694,보수동 주민센터 1층 민원실,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 중구 보수동행정복지센터 복지담당,051-600-6440,2025.11.6,3250000,부산광역시 중구
자갈치역,부산광역시,중구,26110,부산광역시 중구 구덕로 80,부산광역시 중구 남포동6가 74-1,35.0977573,129.027114,자갈치역 3번 출구,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,교통공사 영업처,051-640-7266,2025.11.6,3250000,부산광역시 중구
중앙역,부산광역시,중구,26110,부산광역시 중구 중앙대로 83,부산광역시 중구 중앙동4가 26-3,35.1037577,129.036357,중앙역 12번 출구,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,교통공사 영업처,051-678-6112,2025.11.6,3250000,부산광역시 중구
부산광역시 중구청,부산광역시,중구,26110,부산광역시 중구 중구로 120,부산광역시 중구 대청동1가 1-4,35.1061985,129.032351,부산광역시 중구청 1층 민원실,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 중구청,051-600-4334,2025.11.6,3250000,부산광역시 중구
남부민2동 행정복지센터,부산광역시,서구,26140,부산광역시 서구 천마로 87,부산광역시 서구 남부민동 456-6,35.0845084,129.020545,1층 출입문 옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 서구청,051-240-4824,2025.11.17,3260000,부산광역시 서구
서대신1동 행정복지센터,부산광역시,서구,26140,부산광역시 서구 구덕로315번길 49,부산광역시 서구 서대신동2가 179-1,35.1110829,129.014418,1층 민원실,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 서구청,051-240-4824,2025.11.17,3260000,부산광역시 서구
동대신역,부산광역시,서구,26140,부산광역시 서구 구덕로 290,부산광역시 서구 동대신동2가 428-9,35.1104878,129.017621,"5,7번 출구 B환기실 벽면",0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 서구청,051-240-4824,2025.11.17,3260000,부산광역시 서구
서대신역,부산광역시,서구,26140,부산광역시 서구 대영로 1,부산광역시 서구 서대신동2가 338,35.1109018,129.012172,대합실 핸드폰충전대 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 서구청,051-240-4824,2025.11.17,3260000,부산광역시 서구
서구청,부산광역시,서구,26140,부산광역시 서구 구덕로120,부산광역시 서구 토성동 4가 2-3,35.097366,129.023462,서관동 1층 출입문 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 서구청,051-240-4824,2025.11.17,3260000,부산광역시 서구
송도스포츠센터,부산광역시,서구,26140,부산광역시 서구 송도해변로 121,부산광역시 서구 암남동 229-10,35.078077,129.02011,1층 출입문 왼쪽,9:00,18:00,9:00,13:00,0:00,0:00,2,N,Y,부산광역시 서구청,051-240-4824,2025.11.17,3260000,부산광역시 서구
서구장애인복지관,부산광역시,서구,26140,부산광역시 서구 보수대로154번길 36,부산광역시 서구 동대신동1가 17-1,35.1106652,129.023529,1층 안내데스크옆,9:00,18:00,9:00,13:00,0:00,0:00,2,N,Y,부산광역시 서구청,051-240-4824,2025.11.17,3260000,부산광역시 서구
부산대학병원,부산광역시,서구,26140,부산광역시 서구 구덕로 179,부산광역시 서구 아미동1가 10-1,35.101055,129.019222,B동 비즈니스센터 1층 무인민원발급기 옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 서구청,051-240-4824,2025.11.17,3260000,부산광역시 서구
서구보건소,부산광역시,서구,26140,부산광역시 서구 부용로 30,부산광역시 서구 부용동2가 86,35.107436,129.018038,1층,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 서구청,051-240-4824,2025.11.17,3260000,부산광역시 서구
범천2동 주민센터,부산광역시,부산진구,26230,부산광역시 부산진구 신암로 48,부산광역시 부산진구 범천동 960-1,35.1465185,129.056204,민원실,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 부산진구청 가족지원과,051-605-4825,2025.11.20,3290000,부산광역시 부산진구
부산진구청,부산광역시,부산진구,26230,부산광역시 부산진구 시민공원로 30,부산광역시 부산진구 부암동 666-16,35.1628329,129.053188,구청 후문,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 부산진구청 가족지원과,051-605-4825,2025.11.20,3290000,부산광역시 부산진구
지하철 2호선 개금역,부산광역시,부산진구,26230,부산광역시 부산진구 가야대로 442,부산광역시 부산진구 개금동 487-2,35.1531949,129.020374,2번출구 인근,6:00,23:00,6:00,23:00,6:00,23:00,2,N,Y,부산광역시보조기기센터,051-790-6190,2025.11.20,3290000,부산광역시 부산진구
지하철 2호선 가야역,부산광역시,부산진구,26230,부산광역시 부산진구 가야대로 650,부산광역시 부산진구 가야동 15-13,35.1558738,129.042825,매점 옆,6:00,23:00,6:00,23:00,6:00,23:00,2,N,Y,부산광역시보조기기센터,051-790-6190,2025.11.20,3290000,부산광역시 부산진구
지하철 1호선 서면역,부산광역시,부산진구,26230,부산광역시 부산진구 부전로 187-1,부산광역시 부산진구 부전동 573-1,35.1638426,129.061221,15번 출구 인근,6:00,23:00,6:00,23:00,6:00,23:00,2,N,Y,부산광역시보조기기센터,051-790-6190,2025.11.20,3290000,부산광역시 부산진구
지하철 1호선 양정역,부산광역시,부산진구,26230,부산광역시 부산진구 중앙대로 930,부산광역시 부산진구 양정동 408-4,35.1714667,129.0729,화장실 맞은편,6:00,23:00,6:00,23:00,6:00,23:00,2,N,Y,부산광역시보조기기센터,051-790-6190,2025.11.20,3290000,부산광역시 부산진구
지하철 1호선 범내골역,부산광역시,부산진구,26230,부산광역시 부산진구 중앙대로 612,부산광역시 부산진구 범천동 855-3,35.1472608,129.06001,2번출구 인근,6:00,23:00,6:00,23:00,6:00,23:00,2,N,Y,부산광역시보조기기센터,051-790-6190,2025.11.20,3290000,부산광역시 부산진구
부산어린이대공원,부산광역시,부산진구,26230,부산광역시 부산진구 새싹로 295,부산광역시 부산진구 초읍동 43,35.1825036,129.046689,전기차충전소 옆,6:00,23:00,6:00,23:00,6:00,23:00,2,N,Y,부산광역시 부산진구청 가족지원과,051-605-4825,2025.11.20,3290000,부산광역시 부산진구
지하철 2호선 전포역,부산광역시,부산진구,26230,부산광역시 부산진구 전포대로 181,부산광역시 부산진구 전포동 870-1,35.1528381,129.065362,엘리베이터 1호기 옆,6:00,23:00,6:00,23:00,6:00,23:00,2,N,Y,부산광역시 부산진구청 가족지원과,051-605-4825,2025.11.20,3290000,부산광역시 부산진구
동해선 부전역,부산광역시,부산진구,26230,부산광역시 부산진구 부전로 181,부산광역시 부산진구 부전동 280-76,35.1640428,129.060503,대합실 맞이방,6:00,23:00,6:00,23:00,6:00,23:00,2,N,Y,부산광역시 부산진구청 가족지원과,051-605-4825,2025.11.20,3290000,부산광역시 부산진구
부산시민공원,부산광역시,부산진구,26230,부산광역시 부산진구 시민공원로 73,부산광역시 부산진구 범전동 200,35.1654508,129.055856,다솜관 1층,6:00,23:00,6:00,23:00,6:00,23:00,2,N,Y,부산광역시 부산진구청 가족지원과,051-605-4825,2025.11.20,3290000,부산광역시 부산진구
부산진구노인장애인복지관,부산광역시,부산진구,26230,부산광역시 부산진구 전포대로300번길 6,부산광역시 부산진구 전포동 581,35.1640471,129.065848,1층 정문 앞,9:00,18:00,9:00,18:00,9:00,18:00,2,N,Y,부산광역시 부산진구청 가족지원과,051-605-4825,2025.11.20,3290000,부산광역시 부산진구
모라3동 행정복지센터,부산광역시,사상구,33900,부산광역시 사상구 모라로 110번길 60,,35.1841711,128.993967,만선횟집 옆,0:00,23:59,0:00,23:59,0:00,23:59,4,Y,Y,부산광역시 사상구,051-310-4865,2025.11.14,3390000,부산광역시 사상구
좋은삼선병원,부산광역시,사상구,33900,부산광역시 사상구 가야대로 326,,35.1501511,129.007809,1층 안쪽 휴게공간 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,부산광역시 사상구,051-310-4865,2025.11.14,3390000,부산광역시 사상구
백양종합사회복지관,부산광역시,사상구,33900,부산광역시 사상구 모라로192번길 20-33,,35.1837282,128.999348,1층 현관입구,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,부산광역시 사상구,051-310-4865,2025.11.14,3390000,부산광역시 사상구
사상구장애인복지관,부산광역시,사상구,33900,부산광역시 사상구 모라로192번길 21,,35.1848992,129.000941,1층 야외휴게공간 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,부산광역시 사상구,051-310-4865,2025.11.14,3390000,부산광역시 사상구
괘법르네시떼역(경전철),부산광역시,사상구,33900,부산광역시 사상구 광장로 9,,35.1632616,128.977684,개찰구 옆 역무휴게실(고객지원실 앞),0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,부산광역시 사상구,051-310-4865,2025.11.14,3390000,부산광역시 사상구
사상경찰서,부산광역시,사상구,33900,부산광역시 사상구 학감대로 264,,35.1543405,128.991494,1층 로비 안내 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,부산광역시 사상구,051-310-4865,2025.11.14,3390000,부산광역시 사상구
사상구청소년수련관,부산광역시,사상구,33900,부산광역시 사상구 덕상로 129,,35.183317,128.990561,1층 로비 소강당 입구 앞,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,부산광역시 사상구,051-310-4865,2025.11.14,3390000,부산광역시 사상구
사상구다누림센터,부산광역시,사상구,33900,부산광역시 사상구 가야대로196번길 51,,35.1474457,128.994874,1층 로비.휴게공간 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,부산광역시 사상구,051-310-4865,2025.11.14,3390000,부산광역시 사상구
사상구생활사박물관,부산광역시,사상구,33900,부산광역시 사상구 낙동대로1258번길 36,,35.1720228,128.978719,1층  엘리베이터 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,부산광역시 사상구,051-310-4865,2025.11.14,3390000,부산광역시 사상구
모라1동 행정복지센터,부산광역시,사상구,33900,부산광역시 사상구 모라로 93,,35.187002,128.989876,외부 무인택배보관함 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,부산광역시 사상구,051-310-4865,2025.11.14,3390000,부산광역시 사상구
해운대구문화복합센터,부산광역시,해운대구,26350,부산광역시 해운대구 센텀중앙로 170,부산광역시 해운대구 재송동 1192,35.1820883,129.121472,1층 로비 내,9:00,18:00,0:00,0:00,0:00,0:00,1,N,Y,해운대구문화복합센터,051-749-5766,2025.12.16,3330000,부산광역시 해운대구
해운대장애인복지관,부산광역시,해운대구,26350,부산광역시 해운대구 선수촌로207번길 81,부산광역시 해운대구 반여동 1502-147,35.2108581,129.121937,1층 입구 엘리베이터 근처,9:00,18:00,0:00,0:00,0:00,0:00,1,N,Y,해운대장애인복지관,051-521-5200,2025.12.16,3330000,부산광역시 해운대구
지체장애인협회해운대지부,부산광역시,해운대구,26350,부산광역시 해운대구 반송로 940-1,부산광역시 해운대구 반송동 15-4,35.233439,129.155886,1층 사무실 내,9:00,17:00,0:00,0:00,0:00,0:00,1,N,Y,지체장애인협회해운대지부,051-731-1555,2025.12.16,3330000,부산광역시 해운대구
인제대학교해운대백병원,부산광역시,해운대구,26350,부산광역시 해운대구 해운대로 875,부산광역시 해운대구 좌동 1435,35.1732588,129.182163,1층 로비 내,0:00,23:59,0:00,23:59,0:00,23:59,1,N,Y,인제대학교해운대백병원,051-797-3701,2025.12.16,3330000,부산광역시 해운대구
영화의전당,부산광역시,해운대구,26350,부산광역시 해운대구 수영강변대로 120,부산광역시 해운대구 우동 1467,35.171038,129.127086,본관 안내데스크 반대편 신관 안내데스크 반대편,8:00,23:00,8:00,23:00,8:00,23:00,1,N,Y,영화의전당,051-780-6152,2025.12.16,3330000,부산광역시 해운대구
벡스코,부산광역시,해운대구,26350,부산광역시 해운대구 APEC로 55 (1500 벡스코),부산광역시 해운대구 우동 1500,35.169099,129.136041,1층 로비 엘리베이터 우측,9:00,18:00,9:00,18:00,9:00,18:00,2,N,Y,벡스코,051-740-7321,2025.12.16,3330000,부산광역시 해운대구
동해선신해운대역,부산광역시,해운대구,26350,부산광역시 해운대구 장산로 427,부산광역시 해운대구 좌동 132,35.1816957,129.177033,대합실 수유실 옆,5:35,0:00,5:35,0:10,5:35,0:10,1,N,N,동해선신해운대역,051-440-2271,2025.12.16,3330000,부산광역시 해운대구
동해선벡스코역,부산광역시,해운대구,26350,부산광역시 해운대구 해운대로 351,부산광역시 해운대구 우동 1111-2,35.1715534,129.136099,대합실 1번 출구 옆,5:00,0:10,5:40,0:20,5:40,0:20,1,N,Y,동해선벡스코역,051-440-2266,2025.12.16,3330000,부산광역시 해운대구
2호선해운대역,부산광역시,해운대구,26350,부산광역시 해운대구 해운대로 626,부산광역시 해운대구 우동 656,35.1636448,129.158875,엘리베이터 4호기 뒤,5:20,0:30,5:20,0:30,5:20,0:30,1,N,N,2호선해운대역,051-640-7266,2025.12.16,3330000,부산광역시 해운대구
